,kMEmagenta
isogroupSym_100008_c0_g2,0.61602265243542
isogroupSym_100008_c0_g3,0.796681623013268
isogroupSym_100031_c0_g1,-0.302644133451381
isogroupSym_100036_c0_g1,0.717483964898631
isogroupSym_100044_c0_g1,0.113605585091357
isogroupSym_100066_c0_g1,-0.592794543214078
isogroupSym_100071_c0_g1,0.609614556274297
isogroupSym_100075_c2_g2,0.599396794798909
isogroupSym_100097_c0_g1,-0.556813800313409
isogroupSym_100097_c0_g3,-0.0245494759441038
isogroupSym_100100_c0_g2,0.737522635113945
isogroupSym_100110_c0_g3,0.455710103800026
isogroupSym_100136_c0_g1,-0.115927424498644
isogroupSym_100136_c0_g3,0.511845687581312
isogroupSym_100168_c0_g1,-0.714952277527593
isogroupSym_100192_c0_g1,-0.445751390209485
isogroupSym_100201_c0_g1,-0.203563322370424
isogroupSym_100207_c0_g1,0.0125222116502331
isogroupSym_100207_c0_g2,-0.364535423519469
isogroupSym_100213_c0_g1,-0.392978127794627
isogroupSym_100230_c0_g1,0.55619518933273
isogroupSym_100230_c0_g3,0.680472550452631
isogroupSym_100232_c0_g1,0.710075688707994
isogroupSym_100232_c0_g2,0.514301106979134
isogroupSym_100246_c0_g1,-0.617521773291619
isogroupSym_100246_c0_g2,0.00981799529081384
isogroupSym_100246_c0_g3,0.900953426501377
isogroupSym_100252_c0_g1,0.739205082018323
isogroupSym_100267_c0_g2,0.0174745613733659
isogroupSym_100267_c0_g3,0.0231737075851739
isogroupSym_100278_c0_g1,-0.174756620022537
isogroupSym_100292_c0_g1,-0.125039505248041
isogroupSym_100304_c0_g2,0.166885731863328
isogroupSym_100317_c0_g1,-0.699092872298904
isogroupSym_100317_c0_g2,-0.29325271896967
isogroupSym_100330_c0_g1,0.0887453796816091
isogroupSym_100339_c0_g1,0.00409734416821138
isogroupSym_100341_c0_g1,-0.0720361452603318
isogroupSym_100346_c0_g1,0.55563214450951
isogroupSym_100365_c0_g2,0.514537066185198
isogroupSym_100382_c0_g5,-0.691200439070035
isogroupSym_100410_c0_g1,0.906824505479181
isogroupSym_100410_c0_g4,0.8289429142077
isogroupSym_100437_c0_g1,0.861530287780096
isogroupSym_100437_c0_g2,0.377388502612722
isogroupSym_100439_c1_g1,0.340994474655756
isogroupSym_100466_c0_g1,-0.447115030864395
isogroupSym_100467_c0_g1,-0.0301565901572046
isogroupSym_100492_c0_g1,0.786335991539258
isogroupSym_100493_c0_g1,0.676183045447029
isogroupSym_100511_c0_g1,0.639376095404341
isogroupSym_100536_c1_g2,-0.212711617758946
isogroupSym_100536_c1_g4,-0.0586524765064957
isogroupSym_100539_c0_g1,0.564557890249661
isogroupSym_100541_c0_g1,0.80687799974563
isogroupSym_100546_c0_g1,-0.612578977371205
isogroupSym_100571_c0_g1,0.238546885071675
isogroupSym_100572_c0_g3,0.33575766452112
isogroupSym_100588_c0_g2,0.409034168363657
isogroupSym_100611_c0_g1,-0.468283887349896
isogroupSym_100611_c0_g2,-0.523410243356457
isogroupSym_100629_c0_g1,0.396944945173852
isogroupSym_100635_c0_g1,0.333041120088886
isogroupSym_100639_c0_g1,0.311783055604187
isogroupSym_100639_c1_g1,-0.212552014947443
isogroupSym_100639_c2_g1,0.0415250065374909
isogroupSym_100642_c0_g1,-0.295835078996408
isogroupSym_100645_c0_g1,-0.456047363094295
isogroupSym_100665_c0_g1,-0.577805478159156
isogroupSym_100679_c0_g1,0.39195227230491
isogroupSym_100694_c0_g1,-0.226647705956289
isogroupSym_100703_c0_g1,0.600586322394122
isogroupSym_100705_c0_g1,-0.555098717322992
isogroupSym_100706_c0_g1,-0.417925040378191
isogroupSym_100716_c0_g1,-0.114821227720379
isogroupSym_100716_c0_g2,0.0582079265484864
isogroupSym_100730_c0_g1,-0.522217059078908
isogroupSym_100737_c0_g1,-0.623858017121308
isogroupSym_100738_c0_g1,-0.345726099097294
isogroupSym_100742_c0_g2,0.629923237507339
isogroupSym_100743_c0_g1,-0.636226798502969
isogroupSym_100761_c0_g1,0.414983416381645
isogroupSym_100761_c0_g3,0.476127778333142
isogroupSym_100761_c0_g4,-0.11153848627422
isogroupSym_100764_c6_g1,-0.681714578343293
isogroupSym_100770_c0_g1,0.491103614032241
isogroupSym_100773_c0_g1,0.351170702312302
isogroupSym_100778_c0_g2,0.766168637246545
isogroupSym_100778_c0_g4,0.78014957127039
isogroupSym_100782_c0_g1,0.516676093909184
isogroupSym_100792_c0_g1,-0.461616648474577
isogroupSym_100793_c2_g1,0.748212776197477
isogroupSym_100793_c2_g2,-0.132869697576823
isogroupSym_100793_c2_g4,-0.0525182430655076
isogroupSym_100794_c0_g1,-0.668604090228476
isogroupSym_100802_c0_g1,0.778225090874971
isogroupSym_100806_c0_g1,0.178743083960747
isogroupSym_100806_c1_g1,0.344439684165084
isogroupSym_100816_c0_g1,-0.100475812049801
isogroupSym_100834_c0_g1,0.552468640644663
isogroupSym_100842_c0_g1,0.544917574413541
isogroupSym_100842_c0_g2,-0.35817626305728
isogroupSym_100842_c0_g3,-0.0140497030528999
isogroupSym_100866_c0_g1,-0.426646066501666
isogroupSym_100888_c0_g1,-0.149972726582738
isogroupSym_100888_c1_g1,0.00575681958745839
isogroupSym_100917_c0_g1,-0.122032698502624
isogroupSym_100918_c2_g1,0.24593582868189
isogroupSym_100921_c0_g1,0.212059290009473
isogroupSym_100952_c0_g1,0.205247719561882
isogroupSym_100952_c0_g2,0.745456839292949
isogroupSym_100968_c0_g1,0.528936249024436
isogroupSym_100969_c0_g1,0.579038529165287
isogroupSym_100977_c1_g1,0.0724971327059
isogroupSym_100983_c0_g1,0.0434463759328651
isogroupSym_100987_c6_g1,-0.105330903550844
isogroupSym_101035_c0_g2,-0.702775634656141
isogroupSym_101037_c0_g1,0.695821348138858
isogroupSym_101045_c0_g1,0.664858285018109
isogroupSym_101046_c0_g1,-0.364770692723672
isogroupSym_101057_c0_g1,0.794513419948901
isogroupSym_101085_c0_g1,0.0116526276366746
isogroupSym_101087_c1_g1,-0.503428169150877
isogroupSym_101115_c0_g2,0.363253189706341
isogroupSym_101136_c0_g1,-0.371099624093021
isogroupSym_101138_c0_g1,0.214810492130919
isogroupSym_101146_c0_g2,0.187268894791994
isogroupSym_101148_c0_g1,0.850237668494878
isogroupSym_101158_c0_g1,-0.439608535571931
isogroupSym_101173_c0_g1,-0.26537364432976
isogroupSym_101178_c0_g1,-0.747544947760946
isogroupSym_101178_c0_g2,-0.729627500252256
isogroupSym_101196_c1_g1,0.205186694693456
isogroupSym_10119_c0_g1,-0.510623342921582
isogroupSym_101203_c0_g1,-0.156508754693601
isogroupSym_101210_c0_g1,0.588409907941608
isogroupSym_101210_c1_g1,-0.532004151968662
isogroupSym_101210_c1_g2,0.33861822640739
isogroupSym_101210_c1_g3,0.689789733499802
isogroupSym_101221_c0_g1,-0.19972588804483
isogroupSym_101245_c3_g1,0.213479105680285
isogroupSym_101245_c3_g2,0.493576327082592
isogroupSym_101245_c3_g4,0.0370857540620644
isogroupSym_101250_c0_g1,-0.354878108524965
isogroupSym_101254_c0_g1,-0.574377571513944
isogroupSym_101254_c0_g2,0.147064746730627
isogroupSym_101257_c0_g1,0.835497428286012
isogroupSym_101261_c1_g1,0.868669618041882
isogroupSym_101261_c1_g2,0.127970828419574
