,kMEbrown
isogroupSym_101173_c0_g1,-0.588198200368384
isogroupSym_101178_c0_g1,-0.734044506658091
isogroupSym_101178_c0_g2,-0.783285934288862
isogroupSym_101196_c1_g1,0.253343103476349
isogroupSym_10119_c0_g1,-0.871574919413483
isogroupSym_101203_c0_g1,-0.339054279802093
isogroupSym_101210_c0_g1,-0.0726767898791864
isogroupSym_101210_c1_g1,-0.673633697107976
isogroupSym_101210_c1_g2,-0.137432906560916
isogroupSym_101210_c1_g3,0.720380248890698
isogroupSym_101221_c0_g1,0.076813366535321
isogroupSym_101245_c3_g1,0.663805157856965
isogroupSym_101245_c3_g2,0.46586199947849
isogroupSym_101245_c3_g4,-0.754487370622302
isogroupSym_101250_c0_g1,0.293730713307851
isogroupSym_101254_c0_g1,-0.193364515941506
isogroupSym_101254_c0_g2,0.0696511020561054
isogroupSym_101257_c0_g1,0.660569078852153
isogroupSym_101261_c1_g1,0.332684912432565
isogroupSym_101261_c1_g2,0.168138687165201
isogroupSym_101261_c2_g1,-0.2555047588572
isogroupSym_101293_c0_g3,-0.53180229602938
isogroupSym_101299_c0_g1,-0.678747457402846
isogroupSym_101300_c0_g1,-0.269854757186698
isogroupSym_101304_c1_g2,0.307059317746041
isogroupSym_101306_c1_g1,0.820697225364218
isogroupSym_101308_c4_g1,-0.279979601551547
isogroupSym_101312_c0_g1,-0.894960021444329
isogroupSym_101312_c0_g2,-0.829458752521069
isogroupSym_101326_c0_g1,0.793073982390686
isogroupSym_101329_c0_g1,-0.103316505885701
isogroupSym_101338_c0_g1,0.44913725385692
isogroupSym_10133_c0_g1,0.104324972594751
isogroupSym_101341_c0_g1,-0.630677919579205
isogroupSym_101361_c0_g1,0.486610089150626
isogroupSym_101375_c0_g1,-0.479327721326355
isogroupSym_101385_c0_g1,-0.937764115006865
isogroupSym_101406_c0_g2,0.847552527842776
isogroupSym_101408_c0_g1,-0.56133395241359
isogroupSym_101419_c1_g1,-0.311528346118684
isogroupSym_101420_c0_g1,-0.547093545901675
isogroupSym_101422_c0_g1,-0.853324322060772
isogroupSym_101433_c0_g1,0.710382931034873
isogroupSym_101439_c1_g1,0.0957254789541693
isogroupSym_101441_c0_g1,0.873687606670864
isogroupSym_101460_c0_g2,-0.806875290624762
isogroupSym_101460_c0_g3,-0.637992096195866
isogroupSym_101460_c0_g4,-0.176867639374679
isogroupSym_101486_c0_g1,0.772899983982092
isogroupSym_101486_c0_g2,-0.101909430921948
isogroupSym_101501_c0_g1,0.826134559629852
isogroupSym_101501_c0_g2,0.211804101182571
isogroupSym_101502_c1_g1,0.378078563946594
isogroupSym_101510_c0_g1,0.618281702315697
isogroupSym_101537_c0_g1,-0.0146318814902287
isogroupSym_101537_c0_g2,0.741474716333517
isogroupSym_101543_c0_g2,0.183869327576522
isogroupSym_101543_c0_g3,0.250986326255471
isogroupSym_101549_c0_g1,0.0607048523467165
isogroupSym_101551_c0_g1,0.105569520850123
isogroupSym_101567_c0_g1,-0.73191482782709
isogroupSym_101592_c0_g2,-0.576684980950355
isogroupSym_101592_c0_g3,0.877374902007243
isogroupSym_101592_c0_g4,0.0141199461590063
isogroupSym_101600_c1_g1,0.0430483138941836
isogroupSym_101606_c0_g1,0.0325008327868665
isogroupSym_101607_c0_g1,0.107608613764337
isogroupSym_101607_c1_g1,0.615359193844503
isogroupSym_101629_c0_g1,0.796879412974702
isogroupSym_101635_c0_g3,-0.658177280360976
isogroupSym_101635_c0_g4,0.00844648381745463
isogroupSym_101635_c0_g5,-0.672060146057258
isogroupSym_101645_c0_g2,-0.0646441326797051
isogroupSym_101653_c0_g1,0.675365393922737
isogroupSym_101657_c0_g1,0.325914928368042
isogroupSym_101680_c0_g1,-0.426987936535508
isogroupSym_101691_c0_g2,-0.464275466326186
isogroupSym_101691_c0_g3,-0.413190454084604
isogroupSym_101691_c0_g4,-0.402552228045659
isogroupSym_101695_c0_g2,-0.313068719463502
isogroupSym_101699_c0_g1,-0.694797241878069
isogroupSym_101728_c0_g1,0.808075055084382
isogroupSym_101757_c0_g1,0.58260252575195
isogroupSym_101757_c0_g2,0.815340673162733
isogroupSym_101762_c0_g2,-0.93735376334166
isogroupSym_101779_c0_g1,-0.00158380336291661
isogroupSym_101783_c0_g3,-0.668943936232619
isogroupSym_101785_c0_g2,-0.743215941720062
isogroupSym_101793_c0_g1,-0.736336963371875
isogroupSym_101793_c0_g2,-0.420663138091056
isogroupSym_101796_c0_g1,-0.695014003521978
isogroupSym_101801_c0_g1,-0.513468178960126
isogroupSym_101806_c0_g1,0.5913934004894
isogroupSym_101806_c0_g2,0.421246210703708
isogroupSym_10180_c0_g1,-0.559805481628684
isogroupSym_101813_c0_g1,-0.0693023514687951
isogroupSym_101823_c0_g1,-0.39679844661089
isogroupSym_101823_c0_g2,-0.525389111764032
isogroupSym_101828_c0_g2,-0.199210988282114
isogroupSym_101832_c0_g1,-0.889727922938234
isogroupSym_101841_c0_g2,-0.197808279200859
isogroupSym_101846_c0_g2,0.673218592188172
isogroupSym_101847_c0_g1,-0.729871463099507
isogroupSym_10184_c0_g1,-0.548116801440924
isogroupSym_101851_c0_g1,-0.147082378187921
isogroupSym_10186_c0_g1,-0.319481293137314
isogroupSym_101876_c0_g1,0.199196106140577
isogroupSym_101880_c0_g1,0.82840386882899
isogroupSym_101900_c0_g2,0.293818881540269
isogroupSym_101900_c0_g3,-0.62191135441921
isogroupSym_101901_c1_g1,0.613296803066169
isogroupSym_101904_c1_g10,-0.0222651971590246
isogroupSym_101904_c1_g2,0.561206759543912
isogroupSym_101904_c1_g7,0.812791172117232
isogroupSym_101904_c1_g9,-0.0712627690219165
isogroupSym_101908_c0_g5,0.457743651546458
isogroupSym_101912_c0_g1,0.772662500557155
isogroupSym_101920_c0_g1,-0.163111787790426
isogroupSym_101928_c0_g2,-0.705746839448318
isogroupSym_101932_c0_g1,-0.846654803082919
isogroupSym_101932_c0_g3,-0.568185167276289
isogroupSym_101932_c0_g9,-0.627929846871447
isogroupSym_101941_c0_g1,0.577985080881511
isogroupSym_101946_c0_g1,0.0242739918601344
isogroupSym_101949_c0_g1,-0.30732456436456
isogroupSym_101956_c0_g1,-0.350520106115777
isogroupSym_101956_c0_g2,0.330510020488984
isogroupSym_101966_c1_g1,-0.75052562897728
isogroupSym_101966_c1_g2,0.485202796910419
isogroupSym_101970_c0_g1,-0.422236814565011
isogroupSym_101971_c0_g1,0.666249115077067
isogroupSym_101973_c1_g1,-0.0220779886598256
isogroupSym_101973_c2_g2,0.522954984824133
isogroupSym_101973_c2_g3,0.752067403517229
isogroupSym_101976_c0_g1,0.456259168164451
isogroupSym_101983_c1_g1,-0.759134650081047
isogroupSym_101983_c1_g2,0.342672029739778
isogroupSym_101988_c1_g1,-0.883901175061926
isogroupSym_101988_c1_g3,-0.126759084886499
isogroupSym_101992_c0_g1,-0.00528531094577151
isogroupSym_101992_c0_g3,-0.507591975625718
isogroupSym_102029_c0_g1,0.0284733811192491
isogroupSym_102038_c0_g1,0.79564151087611
isogroupSym_102048_c0_g1,0.697479450745031
isogroupSym_102051_c0_g1,-0.513264933853011
isogroupSym_102064_c0_g1,0.616049140359856
isogroupSym_102065_c0_g2,0.343106740414558
isogroupSym_102068_c0_g1,0.687967714749159
isogroupSym_102101_c0_g1,-0.34264204803123
isogroupSym_102107_c0_g1,0.038641772621758
isogroupSym_102107_c0_g2,0.569848140738616
isogroupSym_102143_c0_g1,-0.425149884499435
isogroupSym_102151_c1_g1,-0.490583876940361
isogroupSym_102151_c4_g2,-0.833780779598361
isogroupSym_102162_c0_g1,-0.792610603241061
isogroupSym_102164_c0_g1,-0.141039548693029
isogroupSym_102186_c1_g1,-0.35900423444298
isogroupSym_102186_c1_g3,-0.343754754868046
isogroupSym_102188_c5_g1,0.481268459778453
isogroupSym_102189_c0_g1,0.57717383939199
isogroupSym_102192_c0_g1,0.474944060398332
isogroupSym_102194_c1_g4,-0.270722171024838
isogroupSym_102202_c2_g1,-0.760960986570456
isogroupSym_102202_c4_g2,0.694383886341367
isogroupSym_102212_c0_g1,0.582943800553165
isogroupSym_102212_c0_g2,0.673167900877218
isogroupSym_102228_c0_g1,0.183350625581447
isogroupSym_102230_c0_g1,0.392673870635396
isogroupSym_102230_c0_g2,0.485730553946997
isogroupSym_102232_c0_g1,0.797063432434824
isogroupSym_102249_c1_g1,0.796277400033668
isogroupSym_102262_c0_g2,0.00259569781444309
isogroupSym_102268_c2_g1,-0.542806720461302
isogroupSym_102271_c1_g2,0.00723054475361224
isogroupSym_102275_c2_g1,-0.532525102245177
isogroupSym_102275_c2_g2,0.675294764723031
isogroupSym_102279_c0_g1,-0.410163557326988
isogroupSym_102286_c0_g1,0.315806206991044
isogroupSym_102287_c1_g2,0.722736969521178
isogroupSym_1022_c0_g1,-0.558708595264434
isogroupSym_102304_c2_g4,-0.0183788355054622
isogroupSym_102314_c0_g1,0.465271079915494
isogroupSym_102318_c0_g1,0.54137408531935
isogroupSym_102320_c4_g1,-0.895890002679272
isogroupSym_102320_c4_g2,0.423038346920182
isogroupSym_102320_c5_g2,0.441743355007686
isogroupSym_102320_c5_g3,0.375676129925334
isogroupSym_102322_c3_g4,-0.344321490911398
isogroupSym_102324_c0_g5,0.571761560566705
isogroupSym_102328_c0_g1,0.570392692138981
isogroupSym_102356_c0_g2,-0.185297842450219
isogroupSym_102382_c3_g3,0.481089505239602
isogroupSym_102395_c0_g1,0.956439914131758
isogroupSym_102421_c0_g4,-0.748701968011684
isogroupSym_102428_c0_g1,0.618716907336134
isogroupSym_102429_c1_g5,0.307868598986444
isogroupSym_102451_c2_g7,0.818828106594272
isogroupSym_102462_c0_g1,-0.416877363805689
isogroupSym_102464_c0_g1,0.537387867795331
isogroupSym_102468_c0_g1,0.523729080429508
isogroupSym_102471_c7_g1,0.797814437060747
isogroupSym_102481_c0_g1,-0.889097449069648
isogroupSym_102517_c0_g1,0.232358420791886
isogroupSym_102522_c0_g1,-0.30971657266675
isogroupSym_102531_c0_g3,-0.549596105192194
isogroupSym_102531_c1_g1,-0.489680813574145
isogroupSym_102534_c1_g1,-0.725016729104851
isogroupSym_102539_c1_g2,0.56322187171811
isogroupSym_102539_c1_g5,0.690082754950744
isogroupSym_102539_c1_g6,-0.556845291025305
isogroupSym_102539_c1_g8,0.313912074170306
isogroupSym_102539_c1_g9,0.337399096665291
isogroupSym_102563_c6_g1,0.848088069579032
isogroupSym_102575_c0_g1,-0.836863457333015
isogroupSym_102580_c0_g1,0.775904350812229
isogroupSym_102596_c1_g1,-0.336068564788535
isogroupSym_102599_c0_g1,0.598452122302355
isogroupSym_102612_c1_g2,-0.314443345460372
isogroupSym_102636_c0_g1,0.0926122074874643
isogroupSym_102649_c0_g2,-0.86399675542873
isogroupSym_102649_c0_g5,-0.642841482030653
isogroupSym_102649_c1_g7,0.606693637201812
isogroupSym_102649_c1_g9,-0.151574152818665
isogroupSym_102654_c0_g1,0.409383215384713
isogroupSym_102664_c0_g1,0.621449086661892
isogroupSym_102670_c3_g1,0.794801517279597
isogroupSym_102670_c4_g1,0.00996305794125922
isogroupSym_102670_c4_g2,-0.571300046741657
isogroupSym_102677_c1_g1,0.225462937358794
isogroupSym_102677_c1_g4,-0.434186721189969
isogroupSym_102677_c1_g5,-0.303661349394598
isogroupSym_102677_c1_g6,0.406739745759331
isogroupSym_102677_c2_g1,0.0119775338860523
isogroupSym_102677_c2_g3,-0.309034364038774
isogroupSym_102678_c0_g2,0.515508312518335
isogroupSym_102678_c1_g5,-0.283940198589698
isogroupSym_102684_c2_g7,-0.70288146360897
isogroupSym_102695_c0_g1,0.212297154017586
isogroupSym_102696_c7_g1,0.139528236021139
isogroupSym_102702_c0_g1,-0.748115102863769
isogroupSym_102710_c0_g1,0.614295942221582
isogroupSym_102711_c0_g1,0.129633830083378
isogroupSym_102712_c0_g1,0.641429802788728
isogroupSym_102717_c4_g1,-0.173063113564032
isogroupSym_102717_c4_g5,-0.270847865454125
isogroupSym_102717_c4_g6,-0.73797352699879
isogroupSym_102721_c2_g1,0.899524564909233
isogroupSym_102721_c2_g2,-0.324053652174948
isogroupSym_102731_c0_g2,-0.0589891227648279
isogroupSym_102739_c0_g1,-0.0977054630571071
isogroupSym_102739_c0_g3,-0.18400210665583
isogroupSym_102744_c1_g1,-0.618805688129282
isogroupSym_102764_c1_g1,0.672861391742329
isogroupSym_102764_c1_g3,-0.728063039332891
isogroupSym_102769_c0_g1,-0.930608686452933
isogroupSym_102770_c0_g1,0.0650199172608574
isogroupSym_102774_c0_g1,0.491077812375952
isogroupSym_102777_c0_g1,0.822402240135255
isogroupSym_102785_c0_g1,0.742406248061799
