,kMEcyan
isogroupSym_101178_c0_g1,-0.14338418519615
isogroupSym_101178_c0_g2,0.0766458701351533
isogroupSym_101196_c1_g1,0.0963417317466983
isogroupSym_10119_c0_g1,0.00227899553461352
isogroupSym_101203_c0_g1,-0.535774993003033
isogroupSym_101210_c0_g1,0.171322260392275
isogroupSym_101210_c1_g1,0.332172334589669
isogroupSym_101210_c1_g2,0.719232828548135
isogroupSym_101210_c1_g3,0.213512836206784
isogroupSym_101221_c0_g1,0.0038610569365832
isogroupSym_101245_c3_g1,-0.0407085652123059
isogroupSym_101245_c3_g2,0.166672381277803
isogroupSym_101245_c3_g4,0.350228491957652
isogroupSym_101250_c0_g1,-0.459840348374335
isogroupSym_101254_c0_g1,-0.622029993377496
isogroupSym_101254_c0_g2,-0.113282277435347
isogroupSym_101257_c0_g1,0.126175218074462
isogroupSym_101261_c1_g1,-0.143698320849336
isogroupSym_101261_c1_g2,0.235484733266236
isogroupSym_101261_c2_g1,-0.0839865738473454
isogroupSym_101293_c0_g3,0.232483642108247
isogroupSym_101299_c0_g1,0.632478573475694
isogroupSym_101300_c0_g1,-0.207531545167368
isogroupSym_101304_c1_g2,-0.153396551859008
isogroupSym_101306_c1_g1,-0.0990257372482822
isogroupSym_101308_c4_g1,0.419515305674222
isogroupSym_101312_c0_g1,0.112813850811141
isogroupSym_101312_c0_g2,0.0277215524500068
isogroupSym_101326_c0_g1,-0.32358203205304
isogroupSym_101329_c0_g1,0.192897601114034
isogroupSym_101338_c0_g1,0.145079728206946
isogroupSym_10133_c0_g1,0.0589337056226922
isogroupSym_101341_c0_g1,0.211310088824369
isogroupSym_101361_c0_g1,0.272529103704155
isogroupSym_101375_c0_g1,0.256673423928939
isogroupSym_101385_c0_g1,0.267410063434811
isogroupSym_101406_c0_g2,-0.0836973405351409
isogroupSym_101408_c0_g1,-0.011757200041523
isogroupSym_101419_c1_g1,0.359200074489857
isogroupSym_101420_c0_g1,0.641179085033317
isogroupSym_101422_c0_g1,0.122562030131638
isogroupSym_101433_c0_g1,-0.0957824643032135
isogroupSym_101439_c1_g1,0.227563577350681
isogroupSym_101441_c0_g1,-0.128068139242842
isogroupSym_101460_c0_g2,0.0322272457023172
isogroupSym_101460_c0_g3,-0.0958382031661977
isogroupSym_101460_c0_g4,0.132346693832853
isogroupSym_101486_c0_g1,-0.62656777486448
isogroupSym_101486_c0_g2,0.319369833390229
isogroupSym_101501_c0_g1,-0.354679710014585
isogroupSym_101501_c0_g2,-0.179251520122614
isogroupSym_101502_c1_g1,0.342121529430883
isogroupSym_101510_c0_g1,-0.322854681740392
isogroupSym_101537_c0_g1,0.443106323571226
isogroupSym_101537_c0_g2,-0.285481259260276
isogroupSym_101543_c0_g2,0.179640427585179
isogroupSym_101543_c0_g3,-0.0532943497639477
isogroupSym_101549_c0_g1,0.259624645118825
isogroupSym_101551_c0_g1,-0.117033751843365
isogroupSym_101567_c0_g1,0.479463253791767
isogroupSym_101592_c0_g2,0.255712687256964
isogroupSym_101592_c0_g3,-0.341366739510611
isogroupSym_101592_c0_g4,0.228728219549983
isogroupSym_101600_c1_g1,0.44470366629419
isogroupSym_101606_c0_g1,0.382492050385557
isogroupSym_101607_c0_g1,0.0974195923482138
isogroupSym_101607_c1_g1,-0.0347228462231782
isogroupSym_101629_c0_g1,-0.243390736926082
isogroupSym_101635_c0_g3,-0.074044704342337
isogroupSym_101635_c0_g4,0.459579606798845
isogroupSym_101635_c0_g5,0.501687626969495
isogroupSym_101645_c0_g2,0.12855261263635
isogroupSym_101653_c0_g1,-0.43253308864758
isogroupSym_101657_c0_g1,-0.502880642598227
isogroupSym_101680_c0_g1,0.32004011874995
isogroupSym_101691_c0_g2,-0.341027542048635
isogroupSym_101691_c0_g3,0.847837053658323
isogroupSym_101691_c0_g4,-0.045361808728101
isogroupSym_101695_c0_g2,0.459308123756985
isogroupSym_101699_c0_g1,0.478894841363741
isogroupSym_101728_c0_g1,-0.121858359372258
isogroupSym_101757_c0_g1,-0.32413439997009
isogroupSym_101757_c0_g2,-0.508069297566026
isogroupSym_101762_c0_g2,0.316007571654818
isogroupSym_101779_c0_g1,-0.172068095316182
isogroupSym_101783_c0_g3,0.457108938302443
isogroupSym_101785_c0_g2,0.239149448689785
isogroupSym_101793_c0_g1,-0.0176400699297872
isogroupSym_101793_c0_g2,0.415039561108431
isogroupSym_101796_c0_g1,0.108056344706634
isogroupSym_101801_c0_g1,0.375201422123046
isogroupSym_101806_c0_g1,-0.396811169814104
isogroupSym_101806_c0_g2,0.0388049409650241
isogroupSym_10180_c0_g1,0.00876117604618474
isogroupSym_101813_c0_g1,-0.324249420746918
isogroupSym_101823_c0_g1,0.074919697699132
isogroupSym_101823_c0_g2,0.670749483276531
isogroupSym_101828_c0_g2,0.375452162629209
isogroupSym_101832_c0_g1,0.386320810516797
isogroupSym_101841_c0_g2,-0.179596705779076
isogroupSym_101846_c0_g2,-0.0612089351873143
isogroupSym_101847_c0_g1,0.138056721159291
isogroupSym_10184_c0_g1,0.739694812640853
isogroupSym_101851_c0_g1,0.239507781963472
isogroupSym_10186_c0_g1,0.567337589623339
isogroupSym_101876_c0_g1,0.377099148328602
isogroupSym_101880_c0_g1,-0.289436206043457
isogroupSym_101900_c0_g2,0.25181244348927
isogroupSym_101900_c0_g3,0.181947953684871
isogroupSym_101901_c1_g1,-0.434209374712974
isogroupSym_101904_c1_g10,0.289491122876775
isogroupSym_101904_c1_g2,0.297118565464514
isogroupSym_101904_c1_g7,-0.338007888460038
isogroupSym_101904_c1_g9,0.297137759901979
isogroupSym_101908_c0_g5,0.157837452802512
isogroupSym_101912_c0_g1,-0.413988195309568
isogroupSym_101920_c0_g1,-0.134287001926142
isogroupSym_101928_c0_g2,-0.138935850222806
isogroupSym_101932_c0_g1,0.123398554240284
isogroupSym_101932_c0_g3,0.168184592530496
isogroupSym_101932_c0_g9,0.412282352825645
isogroupSym_101941_c0_g1,0.254585244204147
isogroupSym_101946_c0_g1,0.291746937458756
isogroupSym_101949_c0_g1,-0.0114595662253898
isogroupSym_101956_c0_g1,-0.308926557361376
isogroupSym_101956_c0_g2,0.05882409091607
isogroupSym_101966_c1_g1,-0.0643711595361789
isogroupSym_101966_c1_g2,-0.190836508254281
isogroupSym_101970_c0_g1,0.376045552337598
isogroupSym_101971_c0_g1,-0.510621644472836
isogroupSym_101973_c1_g1,-0.427111993701116
isogroupSym_101973_c2_g2,-0.247335118673613
isogroupSym_101973_c2_g3,-0.27361628141449
isogroupSym_101976_c0_g1,-0.147807286026726
isogroupSym_101983_c1_g1,-0.0585100887968115
isogroupSym_101983_c1_g2,-0.21277897144665
isogroupSym_101988_c1_g1,0.0830017359708724
isogroupSym_101988_c1_g3,-0.481895606444837
isogroupSym_101992_c0_g1,-0.132643347072883
isogroupSym_101992_c0_g3,0.0198883725488058
isogroupSym_102029_c0_g1,0.611782224861562
isogroupSym_102038_c0_g1,0.0773853272217312
isogroupSym_102048_c0_g1,-0.159936513979907
isogroupSym_102051_c0_g1,-0.00267873717507902
isogroupSym_102064_c0_g1,-0.292687682031466
isogroupSym_102065_c0_g2,-0.0936568540926285
isogroupSym_102068_c0_g1,-0.0149230226051357
isogroupSym_102101_c0_g1,0.859251007315569
isogroupSym_102107_c0_g1,-0.111412159662261
isogroupSym_102107_c0_g2,-0.242556986836581
isogroupSym_102143_c0_g1,0.625001424947885
isogroupSym_102151_c1_g1,0.526712110199341
isogroupSym_102151_c4_g2,0.49514606814222
isogroupSym_102162_c0_g1,0.0885959068416027
isogroupSym_102164_c0_g1,-0.627947251539754
isogroupSym_102186_c1_g1,0.538531950285695
isogroupSym_102186_c1_g3,0.348432836232491
isogroupSym_102188_c5_g1,0.265186629300234
isogroupSym_102189_c0_g1,-0.196874680805113
isogroupSym_102192_c0_g1,-0.150895554722308
isogroupSym_102194_c1_g4,-0.0555315182312577
isogroupSym_102202_c2_g1,0.143075446398603
isogroupSym_102202_c4_g2,-0.209058600079129
isogroupSym_102212_c0_g1,0.191515378810308
isogroupSym_102212_c0_g2,0.150591496143919
isogroupSym_102228_c0_g1,-0.371525646543925
isogroupSym_102230_c0_g1,-0.311430911821084
isogroupSym_102230_c0_g2,0.0534537506365788
isogroupSym_102232_c0_g1,-0.349908018498631
isogroupSym_102249_c1_g1,0.0366176347562064
isogroupSym_102262_c0_g2,0.281214378865003
isogroupSym_102268_c2_g1,0.905788604007387
isogroupSym_102271_c1_g2,0.333167821934158
isogroupSym_102275_c2_g1,-0.10132949000656
isogroupSym_102275_c2_g2,-0.110140396988032
isogroupSym_102279_c0_g1,-0.274571666994723
isogroupSym_102286_c0_g1,-0.14587381365418
isogroupSym_102287_c1_g2,-0.190184350168552
isogroupSym_1022_c0_g1,-0.156128639259665
isogroupSym_102304_c2_g4,-0.179218585201053
isogroupSym_102314_c0_g1,0.291329224395393
isogroupSym_102318_c0_g1,0.285782460306521
isogroupSym_102320_c4_g1,0.542209937410549
isogroupSym_102320_c4_g2,0.288459168532813
isogroupSym_102320_c5_g2,0.12941780144724
isogroupSym_102320_c5_g3,0.0649671847075527
isogroupSym_102322_c3_g4,0.389027504291986
isogroupSym_102324_c0_g5,-0.206970021589188
isogroupSym_102328_c0_g1,0.157641444461478
isogroupSym_102356_c0_g2,0.23299075208109
isogroupSym_102382_c3_g3,-0.166672629340835
isogroupSym_102395_c0_g1,-0.42934631358423
isogroupSym_102421_c0_g4,0.0254629675414953
isogroupSym_102428_c0_g1,0.146724962043527
isogroupSym_102429_c1_g5,0.131799798385121
isogroupSym_102451_c2_g7,-0.113694141814107
isogroupSym_102462_c0_g1,0.144639571511531
isogroupSym_102464_c0_g1,0.39732056748712
isogroupSym_102468_c0_g1,-0.459158703998369
isogroupSym_102471_c7_g1,-0.153471322399616
isogroupSym_102481_c0_g1,0.119000317243998
isogroupSym_102517_c0_g1,0.0462609876751156
isogroupSym_102522_c0_g1,0.083182403883362
isogroupSym_102531_c0_g3,-0.0695934273365818
isogroupSym_102531_c1_g1,0.500203856275267
isogroupSym_102534_c1_g1,0.44469739793204
isogroupSym_102539_c1_g2,-0.288399627372746
isogroupSym_102539_c1_g5,-0.147276411029211
isogroupSym_102539_c1_g6,0.122161906186849
isogroupSym_102539_c1_g8,-0.161558625796133
isogroupSym_102539_c1_g9,-0.288511744967313
isogroupSym_102563_c6_g1,-0.178912045785819
isogroupSym_102575_c0_g1,0.212362751994559
isogroupSym_102580_c0_g1,-0.221792963502685
isogroupSym_102596_c1_g1,-0.0324581048137134
isogroupSym_102599_c0_g1,-0.465169509301575
isogroupSym_102612_c1_g2,0.044419065227931
isogroupSym_102636_c0_g1,-0.00547753801580263
isogroupSym_102649_c0_g2,0.349505856510885
isogroupSym_102649_c0_g5,0.613681781605922
isogroupSym_102649_c1_g7,0.140710429379171
isogroupSym_102649_c1_g9,0.797479324960505
isogroupSym_102654_c0_g1,0.0879794989838122
isogroupSym_102664_c0_g1,-0.0858333800175261
isogroupSym_102670_c3_g1,-0.162223137766421
isogroupSym_102670_c4_g1,-0.43174825242044
isogroupSym_102670_c4_g2,0.283798957057094
isogroupSym_102677_c1_g1,-0.538197090885646
isogroupSym_102677_c1_g4,0.263882419604127
isogroupSym_102677_c1_g5,-0.391590731776573
isogroupSym_102677_c1_g6,-0.185957941626306
isogroupSym_102677_c2_g1,0.122560571651771
isogroupSym_102677_c2_g3,0.0908763269960295
isogroupSym_102678_c0_g2,-0.156680916363626
isogroupSym_102678_c1_g5,0.0335268680065914
isogroupSym_102684_c2_g7,0.147840940021952
isogroupSym_102695_c0_g1,0.0407788050320023
isogroupSym_102696_c7_g1,-0.436559684340543
isogroupSym_102702_c0_g1,0.0817551676196227
isogroupSym_102710_c0_g1,-0.0647975119819185
isogroupSym_102711_c0_g1,0.388975997063089
isogroupSym_102712_c0_g1,-0.281423717505646
isogroupSym_102717_c4_g1,0.235265515329401
isogroupSym_102717_c4_g5,0.240750594544104
isogroupSym_102717_c4_g6,0.170431697090151
isogroupSym_102721_c2_g1,-0.0703433553276422
isogroupSym_102721_c2_g2,0.389839570698845
isogroupSym_102731_c0_g2,-0.058054523056585
isogroupSym_102739_c0_g1,0.0879832968567856
isogroupSym_102739_c0_g3,0.0673228761323527
isogroupSym_102744_c1_g1,0.367407926240947
isogroupSym_102764_c1_g1,-0.49377767399882
isogroupSym_102764_c1_g3,-0.0314203335618867
isogroupSym_102769_c0_g1,0.356994098439014
isogroupSym_102770_c0_g1,0.195963540178534
isogroupSym_102774_c0_g1,-0.194818635312693
isogroupSym_102777_c0_g1,-0.146656117183888
isogroupSym_102785_c0_g1,0.120914013561748
isogroupSym_102785_c2_g2,0.206643147818186
isogroupSym_102785_c3_g1,0.745524236522043
isogroupSym_102785_c7_g2,0.351444195077589
isogroupSym_10278_c0_g1,0.109760706416104
isogroupSym_102797_c0_g2,0.604404590798887
isogroupSym_102798_c0_g2,0.0549277373953551
isogroupSym_102798_c0_g3,0.00222295667609521
isogroupSym_102806_c2_g3,0.527770975518976
isogroupSym_102806_c2_g4,0.0171090197717156
isogroupSym_102825_c1_g2,0.510954167289301
isogroupSym_102848_c3_g1,-0.121781532083535
isogroupSym_102873_c0_g1,0.472200719520973
isogroupSym_102873_c0_g2,0.363591188906044
isogroupSym_10287_c0_g1,0.546857928783312
isogroupSym_10289_c0_g1,0.13840525212943
isogroupSym_102902_c2_g1,0.28596182537463
isogroupSym_102918_c1_g1,0.364862508973399
isogroupSym_102918_c1_g2,0.564852041377764
isogroupSym_102918_c1_g3,-0.122130104051857
isogroupSym_102927_c0_g1,-0.0994751796876124
isogroupSym_102930_c1_g1,0.343923911711901
isogroupSym_102930_c4_g1,0.322473793765257
isogroupSym_102930_c7_g1,0.221691012365685
isogroupSym_102930_c7_g2,0.346629278441655
isogroupSym_102930_c7_g4,0.224809743751489
isogroupSym_102949_c1_g1,0.444073883443935
isogroupSym_102957_c2_g1,0.414395617174661
isogroupSym_102974_c1_g1,0.10639086558795
isogroupSym_102974_c1_g2,0.269307120730756
isogroupSym_102976_c0_g1,-0.332537569499246
isogroupSym_102979_c10_g1,0.779260041242254
isogroupSym_102979_c12_g1,0.741534408716577
isogroupSym_102979_c13_g1,0.0557488566488193
isogroupSym_102979_c2_g1,0.0230790144074628
isogroupSym_102979_c4_g1,-0.389024678750217
isogroupSym_102979_c4_g2,0.152647732688954
isogroupSym_102979_c7_g2,-0.392615068923044
isogroupSym_102979_c7_g3,0.168945305143217
isogroupSym_102979_c9_g1,0.404990460845393
isogroupSym_102979_c9_g2,0.229880385710311
isogroupSym_102988_c1_g1,0.158198452496088
isogroupSym_102988_c1_g2,-0.0860579399685538
isogroupSym_102992_c2_g1,0.491455856874292
isogroupSym_103005_c0_g1,-0.0203230921729432
isogroupSym_103005_c0_g2,-0.375417302050332
isogroupSym_103012_c1_g1,-0.0968952646908195
isogroupSym_103012_c2_g3,0.0557129133830703
isogroupSym_103012_c3_g1,0.891111515275346
isogroupSym_103018_c0_g1,0.116111948809972
isogroupSym_103019_c0_g1,0.585031868643872
isogroupSym_103044_c3_g2,-0.255359041998546
isogroupSym_103046_c0_g1,0.520424447472549
isogroupSym_103046_c1_g4,-0.0337554371297165
isogroupSym_103056_c0_g1,-0.505625164010268
isogroupSym_103066_c3_g3,-0.525202404314196
isogroupSym_103069_c0_g1,-0.162877170691657
isogroupSym_103069_c0_g2,0.18389674602441
isogroupSym_103069_c0_g3,-0.453711674961131
isogroupSym_103070_c0_g2,0.0146956204055964
isogroupSym_103089_c0_g1,0.155711627622776
isogroupSym_103091_c0_g1,0.063703214864283
isogroupSym_103093_c3_g10,-0.561564487287913
isogroupSym_103093_c3_g2,0.465914947066595
isogroupSym_103093_c3_g3,0.292643400030085
isogroupSym_103093_c3_g5,0.284420216285035
isogroupSym_103093_c3_g8,-0.0384992531772798
isogroupSym_103097_c0_g1,0.133260147383425
isogroupSym_103127_c6_g1,0.531528305726102
isogroupSym_103171_c0_g1,-0.318677022458496
isogroupSym_103193_c4_g1,-0.145937664927003
isogroupSym_103218_c0_g1,0.0540275934017359
isogroupSym_103226_c0_g1,-0.172841925134799
isogroupSym_103226_c0_g2,0.26786640230549
isogroupSym_103226_c0_g4,-0.38874385945617
isogroupSym_103226_c0_g5,0.255129229603815
isogroupSym_103230_c2_g1,0.393061674794627
isogroupSym_103230_c3_g2,-0.317697952555328
