baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
isogroupSym_0_c0_g1	0.789223845525373	0.486705122587917	1.08873596457789	0.447036874341354	0.654848435926174	0.803767989716306
isogroupSym_100004_c0_g1	0.83267111057005	-1.23190179067947	1.29979434232292	-0.947766697059081	0.343248237997746	0.546844020777442
isogroupSym_100008_c0_g1	0.486512526920453	-0.2321094799627	1.59409294739955	-0.145605988873698	0.884232439939464	0.943588021147591
isogroupSym_100008_c0_g2	40.7889502209367	-0.722171496224061	0.18953636522421	-3.81020019757041	0.000138854304800328	0.00115887421472006
isogroupSym_100008_c0_g3	172.47010993601	-0.872171870165697	0.108520522531081	-8.03693024898495	9.21170705719082e-16	1.19093447576019e-13
isogroupSym_100031_c0_g1	3.9780133942439	0.478482597960893	0.55104537931811	0.868317956958446	0.385220294470137	0.58890029479805
isogroupSym_100036_c0_g1	45.2256024284316	-0.778719533088113	0.194542160902771	-4.00283172282281	6.25888208531292e-05	0.000585522763698374
isogroupSym_100044_c0_g1	15.2725493877269	-0.235696206690617	0.292384910078696	-0.806116179618088	0.420175863260353	0.621405338608704
isogroupSym_100054_c1_g1	0.0365352283069527	0.674355649617091	4.14373905614688	0.16274085807038	0.870722475712725	NA
isogroupSym_100066_c0_g1	11.3320540234181	0.889080191760194	0.313212208333293	2.83858728397366	0.00453137243532636	0.0210319617708938
isogroupSym_100071_c0_g1	52.7163745391724	-0.467416562005022	0.164872849080269	-2.83501234201066	0.00458239153324103	0.0212288834426418
isogroupSym_100075_c2_g1	2.09501657212103	0.965479233901501	0.709318161033284	1.36113705659962	0.173470380957151	0.347095024044299
isogroupSym_100075_c2_g2	6.2518202433658	-2.32527722629305	0.694318746642896	-3.34900539202781	0.000811022173388497	0.00507733673131757
isogroupSym_100089_c0_g1	0.111532931101566	0.674366231644614	2.88804999377276	0.233502270770481	0.815371406466393	NA
isogroupSym_100095_c0_g1	0.157520000380567	-0.407643732091927	2.35820861682241	-0.172861607401474	0.862760210144573	NA
isogroupSym_100097_c0_g1	35.316910048159	0.598567161212844	0.17864071716534	3.3506759864765	0.000806145670637018	0.00505534723010586
isogroupSym_100097_c0_g3	111.034216482482	-0.0194149658319243	0.134131562047693	-0.144745692479305	0.884911661636396	0.943914261994942
isogroupSym_100100_c0_g2	801.296067288286	-0.475507499977614	0.0964310103718662	-4.93106416850677	8.17828615106639e-07	1.34214427410526e-05
isogroupSym_100110_c0_g1	2.00304936881471	0.634675207944358	0.765484013211026	0.829116215349874	0.407038648992417	0.609646142894361
isogroupSym_100110_c0_g3	72.3750871526943	-0.64084243332057	0.181765906822185	-3.52564705078319	0.000422449570920255	0.00293196351702675
isogroupSym_100136_c0_g1	96.875253689004	0.032577778789546	0.123442731733931	0.263910060413797	0.791849223310737	0.892873139230306
isogroupSym_100136_c0_g2	0.139965666549094	0.313698818940246	3.02586477153808	0.103672451555325	0.917429289297482	NA
isogroupSym_100136_c0_g3	8.36064910284456	-0.743762004432037	0.384945180270909	-1.93212447525283	0.0533441440871783	0.147667018621398
isogroupSym_100168_c0_g1	49.3571598730753	0.769581240063245	0.166292079716347	4.62788872071333	3.6941240860916e-06	5.00460656393486e-05
isogroupSym_100192_c0_g1	21.9900806333382	0.374176461758827	0.237578202800974	1.57496124369745	0.115265390673542	0.261104876206977
isogroupSym_100201_c0_g1	4.57775953204036	0.351923410227008	0.509944197217768	0.690121413572477	0.490117838005389	0.679007561131757
isogroupSym_100207_c0_g1	17.1522998207121	0.0607978231847472	0.2633670968747	0.230848211132739	0.817432725540194	0.906810917057242
isogroupSym_100207_c0_g2	42.5550507004406	0.323099356340076	0.180260044402755	1.79240694969638	0.0730678023735341	0.186652351680675
isogroupSym_10020_c0_g1	0.253662897455845	1.27273146449455	2.08947762145279	0.609114666473259	0.542448436802545	NA
isogroupSym_100213_c0_g1	180.843205294705	0.375066667967914	0.105982311605386	3.53895534345801	0.000401713803627003	0.00281795263446488
isogroupSym_100228_c1_g1	0.862363467645639	1.61646001607827	1.0733117195338	1.50604897594931	0.132054601529414	0.286754663930363
isogroupSym_100230_c0_g1	545.245671978162	-0.253144314572156	0.0753847566713845	-3.35803053229523	0.000784999417418072	0.00494785488807417
isogroupSym_100230_c0_g3	8.69480391216083	-2.92346216044412	0.524633495421453	-5.57238946037104	2.51268922319484e-08	6.33499662768521e-07
isogroupSym_100232_c0_g1	32.172838632501	-1.3419862206777	0.244353739886448	-5.49198150722524	3.97449017827685e-08	9.44414701208636e-07
isogroupSym_100232_c0_g2	11.9728465039137	-0.89049765797381	0.353817134943887	-2.51683022111136	0.0118415875280075	0.0461400704153324
isogroupSym_100246_c0_g1	9.80125857259857	1.0565392179788	0.311076335648788	3.3963985584929	0.000682788604982009	0.00439582229559494
