baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
isogroupSym_0_c0_g1	0.789223845525373	-0.908150384205362	1.04009209136655	-0.873144206886689	0.382584480983657	NA
isogroupSym_100004_c0_g1	0.83267111057005	-0.684648955464839	0.972705409633811	-0.703860540595312	0.481519627151969	NA
isogroupSym_100008_c0_g1	0.486512526920453	-0.244060218846511	1.30494933613471	-0.18702658569828	0.8516397883421	NA
isogroupSym_100008_c0_g2	40.7889502209367	-0.791707558026184	0.151221947467169	-5.23540115232324	1.64626912017197e-07	3.41824377380115e-06
isogroupSym_100008_c0_g3	172.47010993601	0.0645822358727996	0.0789415259042141	0.818102198216464	0.413298833790672	0.626114014173794
isogroupSym_100031_c0_g1	3.9780133942439	0.428939227726312	0.456988970130572	0.93862052645112	0.347925610152657	0.565716422412338
isogroupSym_100036_c0_g1	45.2256024284316	-0.0337566843554983	0.142307236759096	-0.2372098926539	0.812493962083856	0.909055134784169
isogroupSym_100044_c0_g1	15.2725493877269	-0.273960963933737	0.235873323092656	-1.16147498301925	0.245448791091784	0.45732239526905
isogroupSym_100054_c1_g1	0.0365352283069527	0	3.38336168183642	0	1	NA
isogroupSym_100066_c0_g1	11.3320540234181	-0.176233496254613	0.286753371342289	-0.614582124805251	0.538830722237017	0.729858454318127
isogroupSym_100071_c0_g1	52.7163745391724	-0.0258628532988182	0.125359288550832	-0.206309828316639	0.83654890178963	0.92288767827717
isogroupSym_100075_c2_g1	2.09501657212103	0.516361015990471	0.621259288656577	0.831152186242656	0.405887661802324	0.619362271437732
isogroupSym_100075_c2_g2	6.2518202433658	0.185993320101143	0.355274322788753	0.523520300147713	0.600612228019691	0.775986512483006
isogroupSym_100089_c0_g1	0.111532931101566	0.569856062747958	2.35808731628783	0.24166028917243	0.809043402260457	NA
isogroupSym_100095_c0_g1	0.157520000380567	0.569862646431616	1.92547165229204	0.295960029197658	0.767260606695005	NA
isogroupSym_100097_c0_g1	35.316910048159	-0.293245871689776	0.160594322347967	-1.82600397948307	0.0678496624151305	0.191886403845054
isogroupSym_100097_c0_g3	111.034216482482	-0.371079698590874	0.111294761160884	-3.33420634287048	0.000855431732529144	0.00636951194726703
isogroupSym_100100_c0_g2	801.296067288286	0.0645801295830085	0.0774112428765384	0.834247419150809	0.40414157494857	0.618149234076432
isogroupSym_100110_c0_g1	2.00304936881471	0.351409222219027	0.650277868888487	0.540398557342397	0.588922202521784	0.767737746682464
isogroupSym_100110_c0_g3	72.3750871526943	0.240955122282452	0.136717506671203	1.76243063634809	0.0779965662236427	0.211885056661887
isogroupSym_100136_c0_g1	96.875253689004	-0.0748560095291318	0.101067653978175	-0.740652489522481	0.458904173267158	0.664679790965737
isogroupSym_100136_c0_g2	0.139965666549094	-0.512157557991431	2.47061326718989	-0.20729976835831	0.835775755041209	NA
isogroupSym_100136_c0_g3	8.36064910284456	-0.544517086726464	0.294389837313189	-1.84964634545851	0.0643645384085232	0.184939063244248
isogroupSym_100168_c0_g1	49.3571598730753	-0.0888600536843876	0.146987653099335	-0.604540938036037	0.545484060268528	0.734590712904797
isogroupSym_100192_c0_g1	21.9900806333382	0.151789370574278	0.19903917963469	0.76261051142226	0.445695713891013	0.653903930599223
isogroupSym_100201_c0_g1	4.57775953204036	0.292106112915866	0.421436411811453	0.693120254275873	0.488234087866465	0.689290370103726
isogroupSym_100207_c0_g1	17.1522998207121	0.134637302189475	0.212265905237001	0.634286048148659	0.52589415999894	0.718920732834771
isogroupSym_100207_c0_g2	42.5550507004406	0.396519750165057	0.146869484230679	2.69981032644105	0.00693790177005945	0.0346308937047745
isogroupSym_10020_c0_g1	0.253662897455845	0.209188324940034	1.74817472056613	0.119660994109496	0.904751700465925	NA
isogroupSym_100213_c0_g1	180.843205294705	-0.430630002566753	0.0908367706558136	-4.74070136419135	2.12979660979633e-06	3.49534044622888e-05
isogroupSym_100228_c1_g1	0.862363467645639	-0.629462644254794	1.09822742143546	-0.573162381460157	0.5665347527558	NA
isogroupSym_100230_c0_g1	545.245671978162	0.17569204553056	0.0598115084934025	2.93742876506684	0.00330946193217391	0.0191354031113863
isogroupSym_100230_c0_g3	8.69480391216083	-2.43363715055601	0.344857838068028	-7.05692862946018	1.70222994288018e-12	8.66537263611876e-11
isogroupSym_100232_c0_g1	32.172838632501	0.451721791877081	0.14622138668094	3.08930042403955	0.00200628450572908	0.0128166870931192
isogroupSym_100232_c0_g2	11.9728465039137	-0.923239459118416	0.279453152613312	-3.30373606625913	0.00095405607099448	0.00694334871824538
isogroupSym_100246_c0_g1	9.80125857259857	-0.592460922773185	0.309035470816343	-1.91712919299571	0.0552215207172893	0.165334484321552
isogroupSym_100246_c0_g2	11.1137538540684	1.23662251559214	0.273817584074294	4.51622754533038	6.29510201688057e-06	9.20747216977648e-05
isogroupSym_100246_c0_g3	990.242822785056	-0.246230130358174	0.121517241176476	-2.02629789793023	0.0427342665488132	0.137218378607084
isogroupSym_100252_c0_g1	26.5995814408182	-0.0173301569214184	0.174293850961144	-0.0994306845930086	0.920796320690043	0.963409775818537
isogroupSym_100252_c0_g2	0.93983154925023	0.373326151484946	0.971399941415465	0.384317659048814	0.700743021113304	0.842317304725406
isogroupSym_100267_c0_g2	9.77841075060489	-0.0407669352227411	0.284124735108594	-0.14348252786636	0.88590910921301	0.948265352187748
isogroupSym_100267_c0_g3	13.2703538273173	-1.18769280735818	0.284203538602183	-4.1790218841035	2.92765516193009e-05	0.000356193100264877
isogroupSym_100278_c0_g1	13.8492803417679	-0.116672117862431	0.249769636171207	-0.46711890064354	0.640414812312168	0.804106620018698
isogroupSym_100292_c0_g1	5.94951353386697	1.31613705212505	0.430362129002089	3.05820833997841	0.00222664711721962	0.0139367379917916
isogroupSym_100295_c0_g1	2.85245812860043	-1.69872676405564	0.534366673452159	-3.17895341990808	0.0014780784172275	0.0100643938366371
isogroupSym_100304_c0_g2	7.74262676085166	0.618386431723647	0.319363189996923	1.93631091839233	0.0528296323542814	0.159944840324798
isogroupSym_100304_c0_g3	0.306799516922502	0.209190000088182	1.51883923485613	0.137730179262848	0.890453667092929	NA
isogroupSym_100304_c0_g4	0.755334657579934	-0.372734182129819	0.987278432314634	-0.377537045204116	0.705774539583308	NA
isogroupSym_100317_c0_g1	38.1580838177376	0.602808677346705	0.165354244914736	3.64555913068661	0.000266811054285509	0.00241392813243831
isogroupSym_100317_c0_g2	44.3141463005325	0.245836156130135	0.136197739841818	1.80499438842122	0.0710755601577699	0.198789298005457
isogroupSym_100330_c0_g1	3.45275018665162	-0.728636081224507	0.482985175605916	-1.50860961790477	0.131398574848604	0.303396259334822
isogroupSym_100339_c0_g1	78.2747885328013	-0.0531312642366281	0.122519676025646	-0.433654952087096	0.664539023698372	0.819306775328643
isogroupSym_100341_c0_g1	3.80437896954102	-0.037970757973304	0.461545362507858	-0.082268745518286	0.934433007610777	0.969378075975097
isogroupSym_100346_c0_g1	204.031583430608	1.16558253769528	0.133421773937122	8.73607435503438	2.41351145061472e-18	2.67364958821791e-16
isogroupSym_100365_c0_g2	58.0038682681007	0.496993964016666	0.124720800193664	3.98485227199429	6.75221193208216e-05	0.000730467121311192
isogroupSym_100374_c0_g1	1.07750373157166	0.422562723880687	0.849565476721891	0.497386882422736	0.618916254085541	0.789260920001687
isogroupSym_100382_c0_g5	112.458202505495	-0.0255714500132292	0.089698801756819	-0.285081288851054	0.775581864846526	0.886943052697546
isogroupSym_100387_c0_g1	1.59254816690512	-0.273461453669666	0.690827270230081	-0.395846350388846	0.692218381106828	0.837387961558592
isogroupSym_100410_c0_g1	136.898986743539	-0.207554945673214	0.117426646166192	-1.76752851630851	0.0771397576518011	0.210172422433925
isogroupSym_100410_c0_g3	0.195726563348323	0.569859627674697	1.81670267876235	0.313677980627475	0.753765626210617	NA
isogroupSym_100410_c0_g4	76.5222136478917	-0.0114163994551017	0.101138631925416	-0.112878721392243	0.910126706365125	0.958398076910658
isogroupSym_100437_c0_g1	900.553753191002	-0.118200526400105	0.0776779002655381	-1.5216750967269	0.128090510501266	0.298408493636419
isogroupSym_100437_c0_g2	20.5528089761234	-0.0271108557133586	0.205049166008829	-0.132216366645409	0.894813156057113	0.951613875957582
isogroupSym_100439_c1_g1	124.552559118232	0.993963388498826	0.0882391231015995	11.2644295813589	1.96621045366702e-29	6.2844598713354e-27
